Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Family, Adventure, Fantasy",en,2008-09-11,6.8,first;very;the,Tinker Bell
Action,en,1990-06-07,6.5,maintain;arriving;to,Lionheart
"Thriller, Animation, Action, Crime",en,2014-08-12,7.4,to;break;recover,Batman: Assault on Arkham
"Comedy, Romance",fr,2001-04-25,7.9,the;At;become,Amélie
"Action, Adventure, Fantasy",en,2022-07-07,0.0,the;of;Marvel,Thor: Love and Thunder
Drama,en,2014-03-21,6.0,existence;refuses;Christian,God's Not Dead
"Horror, Drama, Thriller",en,1960-06-22,8.4,Norman;cares;cash,Psycho
"Comedy, Fantasy, Horror, Thriller",en,2020-11-12,6.7,serial;a;girl.,Freaky
"Thriller, Drama, Mystery",en,2012-09-14,5.6,"death-row;sensational,;sultry",The Paperboy
Family,en,2017-11-07,7.0,9;God's;boy,I Believe
"Drama, War, TV Movie",en,2021-05-12,6.8,Checkpoint;and;head,Danny Boy
"Adventure, Action, Animation, Science Fiction",en,2017-08-14,6.2,a;team;forced,Batman and Harley Quinn
"Thriller, Drama",en,2002-05-10,6.6,is;sweeps;Edward,Unfaithful
Drama,fr,2013-08-21,6.4,during;begins;she,Young & Beautiful
"Romance, Comedy",ja,2018-10-05,5.9,and;a;he,Anoko no Toriko
"Action, Adventure, Comedy, Crime, Thriller",en,2000-11-02,5.8,"skills,;appeal.;with",Charlie's Angels
"Animation, Comedy, Family",en,2012-10-04,6.9,back;friend;decides,Frankenweenie
"Horror, Drama, Thriller, Adventure",en,2017-05-25,5.8,sisters;trapped;and,47 Meters Down
"Action, Family, Drama",en,1984-06-22,7.2,some;in;Japanese,The Karate Kid
Horror,en,2022-01-28,8.2,"happen;can;ring,",The Black Phone
"Comedy, Crime",en,1986-03-20,5.7,must;academy;Lassard's,Police Academy 3: Back in Training
"Romance, Drama",sv,2021-09-08,5.5,and;Elisabeth;the,JJ+E
"Action, Adventure, Comedy, Family, Fantasy",en,2006-10-20,6.6,an;night;ancient,Night at the Museum
"Action, Drama, Thriller",en,2004-04-23,7.4,and;a;clash,Man on Fire
Comedy,en,2003-04-11,6.1,wild;out;goes,Anger Management
"Action, Horror, Science Fiction",en,1999-07-28,5.9,genetically;altered;Aquatica,Deep Blue Sea
Documentary,en,2019-03-26,7.4,and;characters;Kidman,Aquaman: Heroines of Atlantis
"Action, Animation",ja,2016-04-01,5.3,person.;the;resides,Garo: Divine Flame
"War, Drama, Action, History",en,2018-01-16,6.1,in;the;September,12 Strong
"Action, Drama, Mystery, Thriller",en,2007-08-03,7.4,hiding;again;uncover,The Bourne Ultimatum
"Documentary, Music",en,2020-09-11,5.9,for;his;concert,The Boy from Medellín
"Drama, Animation, Romance, Comedy",ja,2016-12-17,7.6,"Ayase,;friends.;love",The Moment You Fall in Love
"Horror, Mystery",es,2007-11-23,7.2,apartment;dark;and,[REC]
"Family, Animation, Adventure",ja,2014-03-08,7.0,know;creates;dogs,Doraemon: New Nobita's Great Demon – Peko and the Exploration Party of Five
"Adventure, Fantasy, Animation, Family",en,2006-12-13,6.4,"the;repossessed,;turned",Arthur and the Invisibles
"Adventure, Animation, Comedy, Family, Fantasy",fr,2011-10-12,6.8,1910.;a;and,A Monster in Paris
"Action, Horror, Science Fiction, Fantasy",ja,2019-07-19,6.9,around;lifetime.;some,Tokyo Ghoul 'S'
"Fantasy, Adventure, Family",en,2018-10-26,6.1,"on;world.;gift,",The Nutcracker and the Four Realms
"Comedy, Drama",en,2014-02-26,8.1,involves;a;the,The Grand Budapest Hotel
"Action, Thriller, Science Fiction",en,2018-05-31,7.5,the;—;his,Upgrade
"Drama, Romance",en,2010-08-04,6.8,"Natalie,;against;and",Step Up 3D
"Family, Drama",es,2021-06-17,9.1,husband;abusive;who,Impossible Things
"Action, Horror, Science Fiction",en,2016-05-13,5.5,exercise;to;terrifying,Kill Command
"Drama, Romance",en,2017-02-10,6.8,lives;passionate;two,Below Her Mouth
"Comedy, Family, Fantasy, Music",en,2016-08-02,7.2,in;classic;story,A Cinderella Story: If the Shoe Fits
"Drama, Action, Adventure, History, War",en,2005-05-03,6.8,After;holy;wife,Kingdom of Heaven
"Action, Comedy, Family",en,2015-04-16,5.2,to;While;Guard,Paul Blart: Mall Cop 2
"Action, Drama, Thriller",en,2014-01-15,6.1,a;Russian;the,Jack Ryan: Shadow Recruit
"Drama, Thriller, Crime",en,2006-10-04,8.2,Boston's;curries;both,The Departed
"Action, History, Adventure, Drama",en,2016-08-17,5.7,on;A;to,Ben-Hur
"Comedy, Romance",en,2009-03-13,5.5,hear;once;a,Miss March
"Action, Drama, Thriller",en,2009-02-07,7.4,ex-con;his;storm,Blood and Bone
"Animation, Family",en,2011-01-13,5.8,in;happiness?;of,Gnomeo & Juliet
"Thriller, Action",en,2015-02-26,5.5,the;a;killers,Everly
"Action, Thriller, Crime",en,2011-01-13,6.4,Bishop;detached.;and,The Mechanic
"Adventure, Action, Thriller",en,1964-09-20,7.4,all;he;of,Goldfinger
"Comedy, Drama, Romance",en,2018-02-16,8.1,family;more;seventeen-year,"Love, Simon"
Drama,en,2017-06-23,5.9,boarding;enemy;and,The Beguiled
"Animation, Family",en,2013-07-11,6.2,an;ordinary;500.,Turbo
Comedy,en,2001-07-13,6.7,"queen,;she;figures",Legally Blonde
"Horror, Thriller, Mystery",en,2016-07-21,6.3,her;the;attached,Lights Out
"Adventure, Comedy, Science Fiction",en,1990-05-25,7.4,the;in;the,Back to the Future Part III
Horror,en,1982-06-04,7.1,Southern;the;neighborhood.,Poltergeist
"Action, Science Fiction, Fantasy, Horror",ja,2016-04-23,7.3,frustration.;Hideo;himself,I Am a Hero
"Comedy, Family, TV Movie",en,2002-11-03,4.5,"mom,;robber;movies,",Home Alone 4
Comedy,en,2017-07-21,6.8,of;an;New,Girls Trip
"Comedy, Romance",en,2014-09-26,5.9,with;falls;in,Playing It Cool
"Horror, Thriller, Drama",it,2020-10-02,5.5,"her;woman;Italy,",The Binding
"Science Fiction, Action, Thriller",en,1998-05-20,5.6,monster;it's;it,Godzilla
Horror,en,2020-10-23,5.8,family;for;the,Haunting of the Mary Celeste
"Adventure, Family",de,2020-02-20,6.6,so;dog;the,Lassie Come Home
"Adventure, Fantasy, Action, Thriller",en,2001-06-11,5.9,tomb;The;in,Lara Croft: Tomb Raider
"Action, Fantasy",en,2015-03-17,4.2,"powers,;destroys;thralls",Avengers Grimm
"Science Fiction, Adventure, Family, Fantasy",en,1982-06-11,7.5,"named;extraterrestrial;Earth,",E.T. the Extra-Terrestrial
Drama,es,2017-10-12,5.7,an;a;strange,Los perros
"Action, Thriller",en,2017-07-26,6.4,An;agent;a,Atomic Blonde
Comedy,en,2012-05-15,6.1,country;of;come,The Dictator
"Adventure, Action, Thriller",en,2018-11-21,5.9,commander;crown.;corrupt,Robin Hood
"Action, Crime, Drama, Thriller",en,2001-10-05,7.4,cop;first;detective,Training Day
"Family, Animation, Action, Adventure, Comedy",en,2017-09-21,6.5,villains;against;and,The Lego Ninjago Movie
"Comedy, Romance",en,2009-06-09,4.8,"Angela,;husband,;ambitious,",Baby on Board
"Animation, Family",en,2011-12-24,6.9,"Hollow;Games,;legendary",Pixie Hollow Games
"Thriller, Mystery",en,1992-03-20,6.9,seductive;brutal;police,Basic Instinct
"Action, Drama, Thriller",en,2017-10-03,6.5,Marine;assassin;a,Sniper: Ultimate Kill
"Animation, Action, Comedy, Fantasy",ja,2017-02-01,7.4,the;Lord.;Trinity,Trinity Seven: Eternity Library & Alchemic Girl
"Action, Science Fiction, Thriller",zh,2017-12-18,5.9,life.;different;same,Bleeding Steel
Horror,en,2007-08-31,6.2,institution;(where;man,Halloween
"Drama, TV Movie",es,2021-10-14,7.2,palace;full;aristocratic,A World For Julius
"Romance, Comedy",en,2015-02-20,6.8,when;Together;upside,The DUFF
"Action, Adventure, Science Fiction, Fantasy, Comedy, Horror",en,2018-05-01,6.0,only;begins;to,Tremors: A Cold Day in Hell
"Animation, Horror, Adventure, Mystery, Action, Science Fiction",ja,2017-05-27,6.9,from;Biotechnology;York.,Resident Evil: Vendetta
"Comedy, Drama, Family, Romance",en,2004-08-06,6.6,graduate;and;is,The Princess Diaries 2: Royal Engagement
"Thriller, Drama, Horror",es,2011-08-17,7.5,guinea;who;holds,The Skin I Live In
"Action, Thriller, Science Fiction",en,1987-07-17,7.3,Murphy;use;the,RoboCop
"Horror, Thriller",en,2013-10-04,5.8,say;mother.;with,Curse of Chucky
"Fantasy, Action, Thriller",en,2006-01-12,6.6,hunts;unlock;an,Underworld: Evolution
"Drama, Thriller, Mystery, Action",ko,2003-11-21,8.3,his;15;clue,Oldboy
"Drama, Comedy, Romance",en,2006-05-09,7.0,his;at;local,Cashback
"Animation, Comedy, Fantasy",ja,2018-01-06,7.9,Rikka;migrate;with,"Love, Chunibyo & Other Delusions! Take On Me"
"Action, Thriller",en,2022-07-14,0.0,common.;a;in,Bullet Train
"Drama, Crime",en,1984-05-23,8.4,the;of;must,Once Upon a Time in America
Comedy,es,2009-06-12,3.8,mujeres;Internet;aquellas,Seven Minutes
"Family, Comedy",en,2001-07-04,5.4,unwittingly;a;cohorts.,Cats & Dogs
"Romance, Comedy",en,2020-02-12,6.9,picture.;her;just,To All the Boys: P.S. I Still Love You
"Romance, Animation, Comedy",ja,2014-04-26,7.0,though;With;and,Tamako Love Story
Comedy,en,2021-10-22,5.6,music;playful;it,Little Big Mouth
"Comedy, Romance",en,2018-04-19,6.4,develop;a;dead,I Feel Pretty
"Documentary, Crime",es,2020-10-14,9.0,mother's;Follows;tireless,The Three Deaths of Marisela Escobedo
"War, Action, Drama, History",en,2013-12-24,7.4,in;decision;Navy,Lone Survivor
"Mystery, Crime, Drama",en,2017-11-03,6.7,train.;of;Orient,Murder on the Orient Express
"Action, Adventure, Drama, Fantasy, Animation",ja,2013-02-01,7.6,former;Griffith.;passed,Berserk: The Golden Age Arc III - The Advent
"Crime, Thriller, Horror, Drama",en,2009-03-13,6.4,one;teenage;their,The Last House on the Left
"Drama, War, Action",en,1986-12-19,7.7,crisis;when;a,Platoon
"Fantasy, Animation, Drama, Romance, Family",en,1998-05-15,6.9,Kayley;Round;a,Quest for Camelot
Drama,en,2009-06-26,7.4,ethical;heartbreaking;Sara,My Sister's Keeper
"Action, Thriller",en,2007-05-22,6.8,two;away.;friends,Death Proof
"Drama, Adventure, Comedy, Romance",cn,1991-11-30,5.5,off;him;encounters,Sex and Zen
"Comedy, Thriller, Crime",es,2020-01-16,7.9,as;Argentina.;performed,The Heist of the Century
"Thriller, Action",en,2017-08-21,5.7,the;Serbia.;hidden,Renegades
Comedy,en,2002-06-06,6.7,Black?;hero!;is,Jack Black: Spider-Man
Drama,en,2017-10-27,6.2,a;goes;experience,Let There Be Light
"Drama, History",en,2018-12-25,7.4,the;bring;U.S.,On the Basis of Sex
"Adventure, Action, Thriller, Science Fiction",en,1981-12-24,7.4,as;surrounding;violent,Mad Max 2
"Science Fiction, Action, Drama, Romance, Adventure, Thriller",en,2018-07-25,7.0,of;and;the,The Darkest Minds
"Thriller, Crime, Drama",en,2013-01-18,5.9,seeks;powerful;makes,Broken City
"Fantasy, Animation",ja,2010-12-23,7.5,years;end;the,Inazuma Eleven: The Movie
"Drama, Thriller, Mystery",en,2017-10-20,7.0,the;renowned;household,The Killing of a Sacred Deer
"Horror, Comedy",en,2004-04-09,7.5,routine;Londoners.;This,Shaun of the Dead
Drama,en,2021-09-10,7.6,hard;ever;Louisiana,Blue Bayou
"Fantasy, Adventure, Family",en,2013-03-07,5.9,"Oscar;con-artist,;small-time",Oz the Great and Powerful
"Thriller, Action, Animation, Science Fiction",en,2018-01-12,6.7,"series;a;City,",Batman: Gotham by Gaslight
"Crime, Thriller",en,2015-03-15,6.2,leadership.;that;of,Child 44
"Horror, Thriller",en,1988-05-13,5.5,"her;later,;Crystal",Friday the 13th Part VII: The New Blood
Action,en,2004-01-16,5.1,happens;gang;leader,Torque
"Animation, Family, Adventure",en,2013-12-18,6.0,it;ago.;with,Walking with Dinosaurs
Thriller,it,2021-06-07,5.7,in;a;his,Security
"Adventure, Animation, Comedy, Family, Science Fiction",en,2018-02-13,6.8,"results,;the;enemy",Lego DC Comics Super Heroes: The Flash
"Documentary, TV Movie",en,2019-05-26,7.1,HBO;about;hit,Game of Thrones: The Last Watch
"Adventure, Action, Science Fiction",en,1983-05-25,7.9,destroy;dreaded;Death,Return of the Jedi
"Comedy, Romance, Thriller",en,2021-03-19,5.7,"body,;dead;happily",Happily
"Action, Thriller",en,2016-11-11,6.6,to;who;troubled,Lady Bloodfight
"Fantasy, Animation, Horror, Action",en,2018-10-04,7.9,daughter;influential;John,Constantine: City of Demons - The Movie
"Thriller, Crime, Drama",en,2012-09-01,6.5,"the;Richard;Kuklinski,",The Iceman
"Drama, Romance",en,2021-01-29,7.0,tensions;painful;them,Malcolm & Marie
"Crime, Action, Science Fiction",en,1993-10-08,6.6,in;his;his,Demolition Man
"Adventure, Animation, Comedy, Family",en,2012-02-07,6.6,must;mission;Puss,Puss in Boots: The Three Diablos
"Adventure, Drama",en,1991-08-02,6.0,simple;sequel;to,Return to the Blue Lagoon
"War, Action, Drama",en,2019-10-17,6.6,in;civilians;Afghanistan—witnesses,The Kill Team
"Drama, Thriller, Mystery",en,1999-07-16,7.5,an;sexual;becomes,Eyes Wide Shut
Drama,en,2021-10-27,6.5,childhood;who's;Black,Passing
"Family, Comedy",en,2011-03-25,6.6,to;all;what,Diary of a Wimpy Kid: Rodrick Rules
Drama,en,2013-11-01,2.0,"the;about;Celeste,",Euphoria
Action,en,2014-08-12,4.1,by;A;wakes,TEKKEN: Kazuya's Revenge
"Music, Drama, History",en,1997-03-21,7.8,mainstream;she;venues.,Selena
"Adventure, Comedy, Family",en,2017-11-09,7.5,"perfect;Browns,;now",Paddington 2
"History, Drama",en,2018-10-11,7.0,at;led;mission,First Man
"Music, Drama, Romance",en,2008-02-14,6.7,underground;The;also,Step Up 2: The Streets
"Action, Crime, Thriller",en,2002-10-02,6.7,latest;right;is,The Transporter
"Comedy, Fantasy, Romance",en,2004-04-13,6.7,total;thirty;be!,13 Going on 30
"Action, Adventure, Fantasy, Science Fiction",en,2005-06-29,5.8,to;altered;…,Fantastic Four
Horror,pt,2020-10-29,6.4,that;for;help,A Gruta
"Family, Comedy, Adventure, Crime",en,1994-07-01,6.2,paper.;but;to,Baby's Day Out
"Adventure, Animation, Family, Western",en,1991-11-21,6.3,on;sinister;makes,An American Tail: Fievel Goes West
Horror,en,1982-08-13,5.8,of;the;nightmare,Friday the 13th Part III
"Adventure, Comedy, Animation, Family",en,2015-11-01,6.8,"while;their;arch-nemesis,",The Peanuts Movie
"Comedy, Drama, Fantasy",en,2006-06-23,6.2,"a;workaholic,;doesn't",Click
"Animation, Action, Comedy, Science Fiction",en,2018-07-27,7.4,"so;hearts,;getting",Teen Titans Go! To the Movies
"Family, Action, Animation, Comedy",en,2017-06-01,6.2,their;book;and,Captain Underpants: The First Epic Movie
"War, Action, Drama",en,2017-04-21,6.5,a;the;U.S.,Sand Castle
"Action, Adventure, Drama",en,2022-03-31,0.0,father’s;avenge;prince,The Northman
"Comedy, Drama",en,2018-11-13,7.6,they;but;in,Instant Family
"Action, Comedy, Thriller, Romance",en,2010-06-04,5.9,life.;until;his,Killers
"Romance, Horror",en,1992-11-13,7.4,captive;search;leaves,Bram Stoker's Dracula
"Horror, Thriller",en,2007-03-22,5.5,in;training;of,The Hills Have Eyes 2
"Animation, Adventure, Family",en,2018-02-07,6.7,ever;who;to,Peter Rabbit
"TV Movie, Action, Adventure, Fantasy, Science Fiction",en,1978-09-06,6.4,order;the;evil,Dr. Strange
"Adventure, Family",en,2019-12-20,8.2,the;his;sled,Togo
"Comedy, Drama",en,1998-06-04,8.1,his;by;of,The Truman Show
"Comedy, Drama",en,2016-11-18,7.2,"dates;totally;brother,",The Edge of Seventeen
"Drama, Mystery, Fantasy, Horror",is,2021-08-12,6.5,family;on;live,Lamb
"Fantasy, Action, Thriller",en,2009-01-22,6.5,break;the;against,Underworld: Rise of the Lycans
"Drama, Action, History",en,2017-09-22,7.4,Hotshots;Members;the,Only the Brave
"Thriller, Science Fiction, Horror",en,2020-02-26,7.2,Cecilia;a;nobody,The Invisible Man
"Action, Adventure, Crime, Science Fiction, Thriller",en,1990-06-22,5.9,"to;""Nuke"";success",RoboCop 2
"Adventure, Action, Thriller",en,2006-05-03,6.7,his;to;Davian.,Mission: Impossible III
Thriller,en,2014-10-23,6.8,position;a;becomes,Stonehearst Asylum
"Music, Drama, Romance",en,2012-07-26,6.9,leader;with;by,Step Up Revolution
"Horror, Mystery, Science Fiction",en,1982-06-25,8.0,scientific;perfectly;of,The Thing
"Family, Comedy, Animation",en,2006-05-17,6.5,a;A;new,Over the Hedge
"Animation, Adventure, Comedy, Family",de,2016-02-04,5.8,the;discovering;lives,Robinson Crusoe
"Action, War",en,2016-09-22,5.9,"hunger,;delivering;end",USS Indianapolis: Men of Courage
"Action, Comedy, Crime",en,1999-09-17,6.4,"diamond,;Miles;find",Blue Streak
"Horror, Thriller",en,2007-04-20,6.2,They;and;an,Vacancy
Documentary,en,2008-07-15,7.5,becomes;he;of,Batman Unmasked: The Psychology of the Dark Knight
"Action, Adventure, Crime, Mystery, Thriller",en,2005-04-27,5.0,by;government;He,xXx: State of the Union
"Drama, Romance",en,2017-10-13,7.3,modern;William;Harvard,Professor Marston and the Wonder Women
"Drama, History",en,2005-01-14,7.5,made;results.;High,Coach Carter
"Drama, Comedy",en,2017-09-08,7.3,"her;she;willed,",Lady Bird
Thriller,no,2015-08-28,6.7,tsunami;in;those,The Wave
"Animation, Comedy, Adventure, Family",ru,2019-04-27,7.1,wilderness;stork;the,The Big Trip
"Science Fiction, Thriller, Horror",en,2013-02-21,6.3,"Barret;Activity,;mystery",Dark Skies
"Comedy, Romance",en,2010-12-21,5.6,with;a;countless,Little Fockers
"Action, Thriller, Mystery",en,2018-01-11,6.3,A;that;lives,The Commuter
"Adventure, Animation, Mystery",en,2011-10-24,6.9,but;are;a,The Adventures of Tintin
"Adventure, Action, Thriller",en,1995-11-16,6.9,"with;up;Bond,",GoldenEye
"Romance, Drama",en,2010-07-30,7.0,Cloud;the;and,Charlie St. Cloud
"Comedy, Romance",en,1995-07-19,7.3,klutzy;and;her,Clueless
"Action, Drama, Mystery, Thriller",en,2002-06-14,7.4,at;Swiss;finds,The Bourne Identity
Comedy,de,1971-08-26,5.2,win;/;the,Die goldene Banane von Bad Porno
"Adventure, Animation, Comedy, Family",en,2006-10-22,6.2,is;rodent-hating;common,Flushed Away
Comedy,en,2014-11-26,6.2,"and;but;investor,",Horrible Bosses 2
"Mystery, Science Fiction, Thriller",en,2009-11-06,6.2,Despite;course;the,The Fourth Kind
"Drama, Romance",en,2021-07-23,7.5,of;affair;that,The Last Letter From Your Lover
"Action, Thriller, Horror",en,2020-03-11,6.6,up;dark;hunted,The Hunt
"Comedy, Romance, Music",es,2021-07-23,6.7,meet;be;just,The Cover
Drama,es,2005-09-16,7.2,"son's;The;couple,",Scars
"Horror, Drama, Fantasy",en,1994-11-11,7.4,"epic;reporter.;loneliness,",Interview with the Vampire
"Crime, Thriller, Mystery",en,2012-03-09,6.3,A;is;pursuit,The Raven
"Animation, Action, Family",en,2019-03-31,7.2,the;The;of,Batman vs. Teenage Mutant Ninja Turtles
Drama,en,2015-09-11,6.1,horrific;is;come,90 Minutes in Heaven
"Action, Thriller",en,2022-01-11,6.3,"is;in;guy,",Run and Gun
"Animation, Family, Comedy",en,2002-02-05,5.3,"friend;Sarousch,;son,",The Hunchback of Notre Dame II
Comedy,en,2004-07-10,6.5,Halloween;the;prospect,A Cinderella Story
"Adventure, Fantasy, Comedy, Family",en,1991-04-10,6.8,Peter's;kidnaps;and,Hook
"Family, TV Movie, Adventure, Comedy, Drama, Fantasy",en,2009-08-28,6.6,their;magic;family,Wizards of Waverly Place: The Movie
Drama,en,1957-04-10,8.5,"accused,;the;or",12 Angry Men
"Adventure, Family, Fantasy",en,2008-12-11,6.3,lost;father;relative.,Inkheart
"Thriller, Drama",en,2022-03-08,6.0,mute;to;forces,The Girl on the Mountain
"Horror, Thriller",en,2008-09-12,6.8,unimaginable;about;goes,Eden Lake
"Action, Adventure, Animation, Fantasy, Science Fiction",en,2009-07-28,7.0,"pilot;member;force,",Green Lantern: First Flight
"Comedy, Crime",en,2013-02-07,5.8,an;in;businessman,Identity Thief
"Fantasy, Drama, Thriller, Mystery, Romance",en,1990-07-12,7.2,a;the;must,Ghost
"Action, Crime, Thriller",en,2020-09-10,6.6,"uses;A;wits,",Run Hide Fight
"Horror, Thriller, Science Fiction",en,2007-04-26,6.6,clear;has;the,28 Weeks Later
"Drama, Mystery, Science Fiction",en,2006-10-19,8.2,deceit;intense;a,The Prestige
"Romance, Drama",en,2018-03-22,7.8,they;Charlie;been,Midnight Sun
"Action, Crime, Thriller",en,2000-06-09,6.4,than;From;a,Gone in Sixty Seconds
"Drama, Fantasy, Romance",en,2016-11-10,6.1,"herself;identity.;unfurls,",Fallen
"Drama, Fantasy, Romance",en,2017-12-01,7.2,and;America;him,The Shape of Water
"Action, Family, Science Fiction",en,2008-02-11,5.8,"alien;Ben,;stop",Ben 10: Race Against Time
Comedy,en,2017-11-09,6.3,and;must;Brad,Daddy's Home 2
"Drama, Horror",en,2014-05-22,6.5,the;lurking;discovers,The Babadook
"Action, Science Fiction, Thriller",en,2001-11-02,6.1,who;fights;each,The One
"Horror, Drama",en,2018-11-29,5.6,series;one;in,The Possession of Hannah Grace
"Romance, Fantasy, Drama",en,2015-04-16,7.5,"accident,;from;keeps",The Age of Adaline
Horror,en,2020-09-01,5.8,most;a;of,The Haunting of Margam Castle
"Adventure, Action, Thriller",en,1965-12-11,6.6,once;or;pound,Thunderball
"Crime, Drama, Mystery, Thriller",en,2017-08-03,7.4,the;town's;a,Wind River
"Romance, Comedy",en,2019-04-12,6.5,as;him;creates,The Perfect Date
"Adventure, Action, Fantasy",en,1986-03-07,6.9,greatest;Scottish;his,Highlander
Comedy,en,1994-12-16,6.6,the;for;are,Dumb and Dumber
"Action, Adventure, Drama, Fantasy",te,2017-04-27,7.3,Mahishmati;with;Kingdom.,Bāhubali 2: The Conclusion
"Drama, Music, Romance",en,1987-08-21,7.4,"the;family,;surprised",Dirty Dancing
Horror,es,2020-04-24,6.6,tale;loves;who,Be Careful What You Wish For
"Comedy, Drama, Crime",es,2020-10-09,6.5,narco;found?;men.,Dogwashers
"Thriller, Action",fr,2019-06-19,6.7,Poliatova's;of;and,Anna
"Action, Science Fiction, Animation",ja,2017-10-27,6.7,the;the;Dr.,Mazinger Z: Infinity
"Drama, Action",en,2011-09-13,6.4,under;each;have,Never Back Down 2: The Beatdown
"Comedy, Drama, Family",en,2014-12-19,6.2,VP;her;since,Annie
"Drama, Romance",en,2017-05-18,7.3,the;boy;A,"Everything, Everything"
Comedy,en,2016-05-04,5.8,and;the;The,Neighbors 2: Sorority Rising
"Action, Animation, Fantasy",ja,1988-03-12,7.5,times;man;a,Saint Seiya: The Heated Battle of the Gods
"Horror, Mystery, Thriller",en,2018-08-10,4.4,girls;lore;victim.,Slender Man
"War, Thriller, Drama",en,2017-05-12,6.3,an;with;a,The Wall
"Comedy, Drama",en,2021-05-07,6.4,viral;videos;of,Mainstream
"Adventure, Drama, History",en,2016-05-13,5.6,"wilderness,;his;the",Last Days in the Desert
Drama,en,2017-09-29,7.5,"coverging;Families,;them",A Question of Faith
"Horror, Thriller, Fantasy",en,2018-10-12,6.6,timid;turned;student's,Look Away
"Fantasy, Family, Comedy",en,2018-12-13,6.5,Banks;them;helps,Mary Poppins Returns
"Drama, Comedy, Romance",en,2015-11-05,6.0,himself;he;sex-addicted,The Escort
"Action, Adventure, Science Fiction",en,2015-09-12,6.3,"Jimmy,;is;over",Hardcore Henry
Action,en,1991-08-23,6.3,who;his;Japanese-American,Showdown in Little Tokyo
Comedy,en,2013-04-27,5.1,tropical;A;island,Welcome to the Jungle
"Action, Adventure, Science Fiction",en,2016-10-14,5.6,companion;powers;alien,Max Steel
"Action, Adventure, Animation",ja,1993-09-23,6.3,"coming;race,;Tuffles,",Dragon Ball Z Side Story: Plan to Eradicate the Saiyans
"Adventure, Fantasy, Action, Comedy, Family",en,1993-06-18,6.4,life;and;Danny,Last Action Hero
"Action, Thriller, Adventure",en,1967-06-13,6.5,and;the;the,You Only Live Twice
"Comedy, Crime, Drama",en,2021-02-25,5.4,Linda;world's;call,Locked Down
"Science Fiction, Comedy, Animation, Family, Adventure",en,2015-11-06,6.7,to;Scrat;once,Cosmic Scrat-tastrophe
Documentary,en,2001-08-11,7.2,the;committee;learn,X-Men: The Mutant Watch
"Adventure, Fantasy, Animation, Drama, Family",ja,2002-07-19,7.2,the;from;to,The Cat Returns
"Fantasy, Action, Thriller, Science Fiction",en,2003-07-11,5.9,from;characters;villain.,The League of Extraordinary Gentlemen
Drama,en,2020-12-04,7.3,embarks;everything;woman,Nomadland
"Action, Animation, Adventure",ja,2010-11-11,7.1,escape;renaming;the,Dragon Ball: Plan to Eradicate the Super Saiyans
Drama,en,2009-02-07,7.8,from;story;1987.,Gifted Hands: The Ben Carson Story
"Action, Adventure, Fantasy",en,2002-04-18,5.6,strives;peasant;bring,The Scorpion King
"Animation, Comedy, Family",en,2013-01-29,6.5,gang.;excitement;with,Madly Madagascar
Thriller,en,2019-08-23,6.1,"Sheila.;Billy,;make",Burn
"Action, Fantasy, Mystery, Crime",en,2004-07-22,4.6,and;even;a,Catwoman
"Adventure, Action",en,2008-05-21,6.0,related;which;skull,Indiana Jones and the Kingdom of the Crystal Skull
"Horror, Drama, Thriller",es,2007-05-20,7.2,a;back;childhood,The Orphanage
"Animation, Adventure, Fantasy",zh,2016-07-08,7.5,uses;her;of,Big Fish & Begonia
"Comedy, Drama, Family, Romance",en,2003-12-12,7.0,a;High;loser,Love Don't Co$t a Thing
"Comedy, Action, Adventure",en,2015-08-13,7.1,put;together;KGB,The Man from U.N.C.L.E.
"Adventure, Comedy, Family, Science Fiction",en,1989-11-22,7.7,in;face;and,Back to the Future Part II
"Action, Drama, Thriller",en,2004-07-23,7.3,"his;should;agent,",The Bourne Supremacy
"Drama, Thriller",en,2017-06-16,6.2,to;recover;A,Kidnap
"Action, Adventure, Thriller",en,2002-08-09,5.9,"world,;fear;the",xXx
"Horror, Drama",en,2020-12-15,6.3,South;curse.;put,Heks
"Drama, Western",it,1968-12-21,8.3,life.;a;the,Once Upon a Time in the West
"Horror, Thriller, Science Fiction",en,2019-05-09,6.1,a;from;to,Brightburn
"Action, Animation, Science Fiction",ja,2001-09-01,7.7,and;capture;spaceship,Cowboy Bebop: The Movie
"Action, Animation, Comedy, Family",en,2022-07-27,0.0,"master;kidnapped,;When",DC League of Super-Pets
"Drama, History, Romance",en,1963-06-12,7.1,"throne,;the;is",Cleopatra
"Horror, Mystery, Science Fiction, Thriller",en,2017-02-15,6.3,to;is;seem.,A Cure for Wellness
"Action, Adventure, Fantasy",zh,2015-12-18,6.2,retire;still;Bayi,Mojin: The Lost Legend
"Animation, Comedy, TV Movie",en,2021-12-16,7.5,Kyle;they;to,South Park: Post COVID: The Return of COVID
"Thriller, Horror",es,2020-10-25,5.6,of;group;enjoy,Originless
"Animation, Family, Fantasy, Comedy",en,2017-10-26,5.9,reconnect;are;backfires,Monster Family
"Horror, Romance, Drama",it,2021-04-21,4.0,"lover,;Mirta;she's",Don't Kill Me
"Drama, Mystery, Thriller",en,2018-10-01,5.9,a;he;night-rider,Reaching Distance
"Comedy, Romance",en,2006-02-17,4.2,his;his;on,Date Movie
"War, Drama",en,2020-01-23,7.6,Pentagon;request;sixty,The Last Full Measure
