Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Comedy, Drama, Romance",hi,2007-11-07,7.0,from;her;reborn,Om Shanti Om
"Action, Adventure, Drama, Fantasy, Romance",zh,2021-02-12,6.8,to;and;the,The Yin Yang Master
"Horror, Thriller",en,2002-04-22,4.5,"killing;Daniels,;a",American Psycho II: All American Girl
Drama,ja,1952-10-09,8.4,decades.;middle-aged;bureaucratic,Ikiru
"Action, Comedy, Thriller, Crime",en,2011-07-07,7.0,international;in;they,The Guard
"War, Drama",de,2020-04-17,7.5,"Jews;Jewish,;is",Persian Lessons
"Comedy, Romance",fr,2018-03-14,6.6,a;her;the,Rolling to You
"Animation, Action, Adventure",ja,2006-04-29,6.7,"Haruka,;to;a",Pokémon: The Mastermind of Mirage Pokémon
"Comedy, Drama, Romance",en,2020-02-14,6.9,will;Peg;NY.,Buffaloed
"Drama, Mystery, Thriller",en,1998-02-12,6.4,a;The;other,Affliction
"Action, Animation",en,2017-05-08,7.0,"But;family.;Totem,",Vixen: The Movie
"Comedy, Romance",en,2004-01-01,6.2,father.;18;traveling,Chasing Liberty
"Comedy, Romance, Western",en,1965-06-24,6.5,A;what;hires,Cat Ballou
"Fantasy, Horror, Science Fiction",tr,2015-12-31,5.8,film;horrifying;in,Baskin
"Drama, Romance, Family",en,1987-05-19,8.0,"battle,;teach;writing",Anne of Green Gables: The Sequel
"Drama, Science Fiction, Adventure",en,2007-02-09,6.3,mysterious;imagine.;world,The Last Mimzy
Family,en,2017-05-16,5.4,reveals;to;was,A Mermaid's Tale
"Music, Family, Animation, Comedy",en,1948-05-27,6.2,ears.;a;and,Melody Time
"Comedy, Romance",en,2001-03-30,5.9,her;on;Jane,Someone Like You...
Drama,pl,1962-03-09,7.2,the;afternoon;accidentally,Knife in the Water
"Adventure, Western",en,1969-06-17,7.7,and;trails;discovers,The Wild Bunch
Drama,en,2017-05-19,6.1,to;attic;breakdown,Wakefield
"Thriller, Action",en,1994-08-17,4.5,to;bounty;hires,Raw Justice
"Comedy, Drama, Romance",en,1993-02-12,6.8,"past,;fight;with",Untamed Heart
"Drama, Romance",en,2002-11-22,7.0,"inexorably;is;student,",The Emperor's Club
"Horror, Thriller",en,2006-08-11,5.0,accidentally;evil;from,Pulse
Thriller,en,2001-09-28,6.2,to;that;stress,Don't Say a Word
"Crime, Thriller",ko,2012-02-02,6.9,vicious;Busan.;crime,Nameless Gangster
"Adventure, Science Fiction",en,2020-12-28,2.6,a;the;crashes,Meteor Moon
"Crime, Drama, Thriller",en,2007-07-27,6.4,absolute;pushes;parents,Butterfly on a Wheel
"Action, Comedy, Crime",en,2010-02-26,5.6,antics;to;drug,Cop Out
Comedy,en,2008-07-13,5.7,her;day?;little,Picture This
Documentary,en,2020-05-11,6.8,exploring;via;and,Have a Good Trip: Adventures in Psychedelics
"Drama, Romance",en,2011-09-09,5.9,in;the;18th,Wuthering Heights
"Drama, Thriller",en,2001-09-14,5.9,"an;of;Glasses',",The Glass House
"Comedy, Horror",en,2005-06-07,6.3,"star;Tiffany,;he",Chucky's Vacation Slides
"Comedy, Music",en,2015-12-04,5.3,help;dancing;York,A Very Murray Christmas
"Drama, Romance, Crime",en,2008-11-07,6.5,from;of;connection,The Burning Plain
"Action, Adventure, Drama, Romance",en,2005-08-16,6.2,death;by;their,Supercross
"Action, Adventure, Science Fiction, Thriller",en,1982-06-04,7.5,Aided;top;that,Star Trek II: The Wrath of Khan
Drama,fr,2001-03-07,6.2,"sister,;her;of",Fat Girl
"Mystery, Drama, Thriller, Romance",en,1940-03-23,7.9,shadow;her;only,Rebecca
"Family, Animation, Music, Adventure",es,2019-11-10,7.3,that;Hen;an,"Turu, the Wacky Hen"
"Drama, Thriller, Mystery",en,2017-05-05,4.4,to;debate;wounds,The Dinner
"Music, Action, Comedy, Crime",en,1998-02-05,5.4,the;raise;released,Blues Brothers 2000
"History, Drama, Action, War",zh,2011-04-28,6.3,power;loyal;behind,The Lost Bladesman
"Crime, Documentary",en,2019-08-18,7.6,of;serial;gives,Ted Bundy: Mind of a Monster
"Comedy, Drama",en,2018-07-20,7.4,the;witnesses;and,Blindspotting
"Animation, Family",en,2005-10-04,6.1,journalists;stylin';task,Bratz: Rock Angelz
"Thriller, Crime, Drama, Action, War",cn,1990-08-17,7.6,totally;escape;close,Bullet in the Head
"Romance, Drama, Comedy",es,2016-08-25,6.5,after;down;his,You're Killing Me Susana
"Action, Thriller",en,1996-03-01,5.5,"jailhouse,;a;imprisoned",Bloodsport II
Action,fr,2019-02-20,5.2,comes;former;team,Paradise Beach
"Action, Drama",en,1978-09-22,5.9,and;directorial;his,Paradise Alley
"Adventure, Animation, Drama",en,1978-10-14,7.2,led;leave;Blackberry,Watership Down
"Mystery, Thriller, Crime",en,2014-08-28,5.7,it.;and;in,Felony
"Drama, Romance",en,1986-10-24,6.8,into;his;band,Sid and Nancy
"Action, Thriller",en,2017-04-14,4.8,female;A;agent,Altitude
"Comedy, Romance",en,2006-07-13,5.6,Dupree;longtime;Dupree,"You, Me and Dupree"
"Science Fiction, TV Movie",en,2008-02-17,6.5,of;and;reclusive,Knight Rider
Action,cn,1983-03-04,5.9,slaughtering;Heaven;entire,Fearless Hyena 2
"Adventure, Animation, Comedy, Family",en,2006-08-04,5.9,begins;before;World,Everyone's Hero
"Drama, History, Thriller",en,2017-09-28,6.1,"the;scandal;Throat""",Mark Felt: The Man Who Brought Down the White House
"Drama, Thriller, Crime, Horror",de,2019-02-21,7.0,residents;of;hearts,The Golden Glove
"Comedy, Romance",en,1992-06-30,5.6,executive;finds;new,Boomerang
"Horror, Science Fiction",en,1996-03-08,5.3,"that;22nd;century,",Hellraiser: Bloodline
"Thriller, Mystery, Action",en,2021-12-02,4.6,fall;year;believes,The Survivalist
"Action, Drama, Thriller",en,2004-09-03,5.4,tragedy;make;against,Paparazzi
"Action, Comedy",cn,1991-07-18,6.6,decides;officer;But,Fight Back to School
"Action, Comedy, Crime",en,2007-01-05,5.2,mysterious;When;is,Code Name: The Cleaner
Documentary,en,2020-04-29,7.4,challenges.;with;coming,A Secret Love
"Comedy, Drama",en,2020-08-07,5.8,wakes;computer;he,An American Pickle
"Action, Adventure, Drama, Thriller",en,1977-03-11,5.5,"panic,;and;daring",Airport '77
"Comedy, Drama",en,2018-08-03,6.3,hilarious;The;umbrella-clad,Like Father
"Drama, TV Movie",en,2015-03-30,6.3,"Noah,;Noah;the",The Ark
"Mystery, Drama, Action, Crime",en,2012-08-10,5.1,"be;force,;a",Freelancers
Drama,en,2011-12-21,6.3,a;Posing;handsome,Albert Nobbs
"Comedy, Drama, Family",es,2022-03-10,0.0,networks;own;a,Who Said Detox?
"Horror, Fantasy",en,2020-10-16,7.3,Mexican;to;journalist,The Old Ways
Drama,en,2020-01-27,5.6,"with;crafts,;horses,",Horse Girl
"Drama, Romance",en,2019-05-02,6.9,Vita;an;one,Vita & Virginia
Western,en,1969-10-04,6.2,and;safety.;the,The Undefeated
"Crime, Action, Adventure, Comedy",fr,2006-04-19,7.3,117;brings;beds,"OSS 117: Cairo, Nest of Spies"
"Action, Thriller",en,1997-09-05,5.6,Jack;determine;an,Fire Down Below
"Documentary, Drama, History",en,2019-10-18,7.0,"year;survivors,;she",#AnneFrank. Parallel Stories
"Horror, Fantasy, Science Fiction",en,2020-01-14,5.7,relatively;and;tragic,Angels Fallen
"Drama, History",en,2006-12-12,6.9,try;the;alive.,We Are Marshall
"Drama, Thriller",es,2020-08-28,6.2,and;recreating;to,Unknown Origins
Comedy,en,2016-03-17,5.3,Life;they;planned,Get a Job
"Comedy, Drama, Romance",en,2006-09-09,6.7,meets;tells;he,A Good Year
"Crime, Drama",en,1991-12-27,7.0,"Joan,;mutating;Upon",Naked Lunch
"Family, Music, Animation, Drama, Comedy",en,1973-03-01,6.7,of;will;he,Charlotte's Web
